our_naics_code,our_name,felten_naics_code,felten_naics_name,felten_score,match_basis,manual_notes,review_source
1111,Oilseed and grain farming,1151,Support Activities for Crop Production,-2.165304,manual_override,Notebook lock: use crop-support activities as the closest reviewed proxy for crop production.,notebook_locked_naics_manual_review
1112,Vegetable and melon farming,1151,Support Activities for Crop Production,-2.165304,manual_override,Notebook lock: use crop-support activities as the closest reviewed proxy for crop production.,notebook_locked_naics_manual_review
1113,Fruit and tree nut farming,1151,Support Activities for Crop Production,-2.165304,manual_override,Notebook lock: use crop-support activities as the closest reviewed proxy for crop production.,notebook_locked_naics_manual_review
1114,Greenhouse and nursery production,1151,Support Activities for Crop Production,-2.165304,manual_override,Notebook lock: use crop-support activities as the closest reviewed proxy for crop production.,notebook_locked_naics_manual_review
1119,Other crop farming,1151,Support Activities for Crop Production,-2.165304,manual_override,Notebook lock: use crop-support activities as the closest reviewed proxy for crop production.,notebook_locked_naics_manual_review
1121,Cattle ranching and farming,1152,Support Activities for Animal Production,-1.149307,manual_override,Notebook lock: use animal-support activities as the closest reviewed proxy for animal production.,notebook_locked_naics_manual_review
1122,Hog and pig farming,1152,Support Activities for Animal Production,-1.149307,manual_override,Notebook lock: use animal-support activities as the closest reviewed proxy for animal production.,notebook_locked_naics_manual_review
1123,Poultry and egg production,1152,Support Activities for Animal Production,-1.149307,manual_override,Notebook lock: use animal-support activities as the closest reviewed proxy for animal production.,notebook_locked_naics_manual_review
1124,Sheep and goat farming,1152,Support Activities for Animal Production,-1.149307,manual_override,Notebook lock: use animal-support activities as the closest reviewed proxy for animal production.,notebook_locked_naics_manual_review
1125,Aquaculture,1152,Support Activities for Animal Production,-1.149307,manual_override,Notebook lock: use animal-support activities as the closest reviewed proxy for animal production.,notebook_locked_naics_manual_review
1129,Other animal production,1152,Support Activities for Animal Production,-1.149307,manual_override,Notebook lock: use animal-support activities as the closest reviewed proxy for animal production.,notebook_locked_naics_manual_review
1131,Timber tract operations,1133,Logging,-1.360161,manual_override,Notebook lock: use logging as the closest reviewed forestry proxy.,notebook_locked_naics_manual_review
1132,Forest nursery and gathering forest products,1133,Logging,-1.360161,manual_override,Notebook lock: use logging as the closest reviewed forestry proxy.,notebook_locked_naics_manual_review
1133,Logging,1133,Logging,-1.360161,raw_exact_match,,notebook_raw_appendix_b
1141,Fishing,1152,Support Activities for Animal Production,-1.149307,manual_override,Notebook lock: use animal-support activities as the closest available reviewed proxy for fishing.,notebook_locked_naics_manual_review
1142,Hunting and trapping,,,,,,
1151,Support activities for crop production,1151,Support Activities for Crop Production,-2.165304,raw_exact_match,,notebook_raw_appendix_b
1152,Support activities for animal production,1152,Support Activities for Animal Production,-1.149307,raw_exact_match,,notebook_raw_appendix_b
1153,Support activities for forestry,1151,Support Activities for Crop Production,-2.165304,accepted_suggested_join,Same 3-digit NAICS family with strong title alignment.,recommended_felten_naics_overrides_initial
2111,Oil and gas extraction,2111,Oil and Gas Extraction,0.6686154,raw_exact_match,,notebook_raw_appendix_b
2121,Coal mining,2121,Coal Mining,-1.146242,raw_exact_match,,notebook_raw_appendix_b
2122,Metal ore mining,2122,Metal Ore Mining,-0.8924032,raw_exact_match,,notebook_raw_appendix_b
2123,Nonmetallic mineral mining and quarrying,2123,Nonmetallic Mineral Mining and Quarrying,-1.037903,raw_exact_match,,notebook_raw_appendix_b
2131,Support activities for mining,2131,Support Activities for Mining,-0.9810408,raw_exact_match,,notebook_raw_appendix_b
2211,Power generation and supply,2211,"Electric Power Generation, Transmission and Distribution",0.2096187,raw_exact_match,,notebook_raw_appendix_b
2212,Natural gas distribution,2212,Natural Gas Distribution,0.3453538,raw_exact_match,,notebook_raw_appendix_b
2213,"Water, sewage and other systems",2213,"Water, Sewage and Other Systems",-0.1564226,raw_exact_match,,notebook_raw_appendix_b
2361,Residential building construction,2361,Residential Building Construction,-0.7602519,raw_exact_match,,notebook_raw_appendix_b
2362,Nonresidential building construction,2362,Nonresidential Building Construction,-0.6632232,raw_exact_match,,notebook_raw_appendix_b
2371,Utility system construction,2371,Utility System Construction,-1.176381,raw_exact_match,,notebook_raw_appendix_b
2372,Land subdivision,2372,Land Subdivision,0.5814018,raw_exact_match,,notebook_raw_appendix_b
2373,"Highway, street, and bridge construction",2373,"Highway, Street, and Bridge Construction",-1.296256,raw_exact_match,,notebook_raw_appendix_b
2379,Other heavy construction,2379,Other Heavy and Civil Engineering Construction,-1.104619,raw_exact_match,,notebook_raw_appendix_b
2381,Building foundation and exterior contractors,2381,"Foundation, Structure, and Building Exterior Contractors",-1.757023,raw_exact_match,,notebook_raw_appendix_b
2382,Building equipment contractors,2382,Building Equipment Contractors,-0.8320791,raw_exact_match,,notebook_raw_appendix_b
2383,Building finishing contractors,2383,Building Finishing Contractors,-1.602616,raw_exact_match,,notebook_raw_appendix_b
2389,Other specialty trade contractors,2389,Other Specialty Trade Contractors,-1.358564,raw_exact_match,,notebook_raw_appendix_b
3111,Animal food manufacturing,3111,Animal Food Manufacturing,-0.78914,raw_exact_match,,notebook_raw_appendix_b
3112,Grain and oilseed milling,3112,Grain and Oilseed Milling,-0.7206286,raw_exact_match,,notebook_raw_appendix_b
3113,Sugar and confectionery product manufacturing,3113,Sugar and Confectionery Product Manufacturing,-0.7729946,raw_exact_match,,notebook_raw_appendix_b
3114,Fruit and vegetable preserving and specialty,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.980808,raw_exact_match,,notebook_raw_appendix_b
3115,Dairy product manufacturing,3115,Dairy Product Manufacturing,-0.8435335,raw_exact_match,,notebook_raw_appendix_b
3116,Animal slaughtering and processing,3116,Animal Slaughtering and Processing,-1.662866,raw_exact_match,,notebook_raw_appendix_b
3117,Seafood product preparation and packaging,3117,Seafood Product Preparation and Packaging,-1.258223,raw_exact_match,,notebook_raw_appendix_b
3118,Bakeries and tortilla manufacturing,3118,Bakeries and Tortilla Manufacturing,-0.8015609,raw_exact_match,,notebook_raw_appendix_b
3119,Other food manufacturing,3119,Other Food Manufacturing,-0.8538909,raw_exact_match,,notebook_raw_appendix_b
3121,Beverage manufacturing,3121,Beverage Manufacturing,-0.6586424,raw_exact_match,,notebook_raw_appendix_b
3122,Tobacco manufacturing,3122,Tobacco Manufacturing,-0.8843057,raw_exact_match,,notebook_raw_appendix_b
3131,"Fiber, yarn, and thread mills",3131,"Fiber, Yarn, and Thread Mills",-1.587852,raw_exact_match,,notebook_raw_appendix_b
3132,Fabric mills,3132,Fabric Mills,-1.114104,raw_exact_match,,notebook_raw_appendix_b
3133,Textile and fabric finishing mills,3133,Textile and Fabric Finishing and Fabric Coating Mills,-0.4358472,raw_exact_match,,notebook_raw_appendix_b
3141,Textile furnishings mills,3141,Textile Furnishings Mills,-1.067818,raw_exact_match,,notebook_raw_appendix_b
3149,Other textile product mills,3149,Other Textile Product Mills,-0.561571,raw_exact_match,,notebook_raw_appendix_b
3151,Apparel knitting mills,3151,Apparel Knitting Mills,-1.272213,raw_exact_match,,notebook_raw_appendix_b
